created_at,open,high,low,close,symbol,ema3,ema5,ema9,ema13,ema21,ema34,ema50,ema100,ema200
2026-06-07T02:02:00.000000Z,641.86739223,641.86739243,641.86739186,641.86739194,Z-CRY/IDX,641.867392237,641.867392352,641.867392305,641.867392147,641.867391817,641.867391368,641.867390926,641.867389996,641.867389094
2026-06-07T02:03:00.000000Z,641.867392,641.867392335,641.867391785,641.867392195,Z-CRY/IDX,641.867392216,641.867392300,641.867392283,641.867392154,641.867391851,641.867391415,641.867390976,641.867390040,641.867389125
2026-06-07T02:04:00.000000Z,641.867392175,641.867392525,641.867391995,641.867392015,Z-CRY/IDX,641.867392115,641.867392205,641.867392229,641.867392134,641.867391866,641.867391449,641.867391016,641.867390079,641.867389153
2026-06-07T02:05:00.000000Z,641.867392005,641.867392685,641.867391675,641.867392685,Z-CRY/IDX,641.867392400,641.867392365,641.867392320,641.867392213,641.867391941,641.867391520,641.867391082,641.867390131,641.867389189
2026-06-07T02:06:00.000000Z,641.8673927,641.867393415,641.867392615,641.867393165,Z-CRY/IDX,641.867392783,641.867392632,641.867392489,641.867392349,641.867392052,641.867391614,641.867391163,641.867390191,641.867389228
2026-06-07T02:07:00.000000Z,641.867393115,641.86739354,641.867392985,641.867393395,Z-CRY/IDX,641.867393089,641.867392886,641.867392670,641.867392498,641.867392174,641.867391716,641.867391251,641.867390254,641.867389270
2026-06-07T02:08:00.000000Z,641.867393325,641.867393455,641.867392915,641.86739292,Z-CRY/IDX,641.867393004,641.867392897,641.867392720,641.867392558,641.867392242,641.867391785,641.867391316,641.867390307,641.867389306
2026-06-07T02:09:00.000000Z,641.867392975,641.867393755,641.86739292,641.867393755,Z-CRY/IDX,641.867393380,641.867393183,641.867392927,641.867392729,641.867392379,641.867391897,641.867391412,641.867390375,641.867389350
2026-06-07T02:10:00.000000Z,641.867393745,641.867394075,641.86739361,641.86739397,Z-CRY/IDX,641.867393675,641.867393446,641.867393136,641.867392907,641.867392524,641.867392016,641.867391512,641.867390446,641.867389396
2026-06-07T02:11:00.000000Z,641.867394005,641.867394005,641.867393415,641.86739349,Z-CRY/IDX,641.867393582,641.867393460,641.867393207,641.867392990,641.867392612,641.867392100,641.867391590,641.867390507,641.867389437
2026-06-07T02:12:00.000000Z,641.86739344,641.867393735,641.867393015,641.8673933,Z-CRY/IDX,641.867393441,641.867393407,641.867393225,641.867393034,641.867392674,641.867392169,641.867391657,641.867390562,641.867389475
2026-06-07T02:13:00.000000Z,641.867393265,641.867393295,641.867392435,641.867392455,Z-CRY/IDX,641.867392948,641.867393090,641.867393071,641.867392951,641.867392654,641.867392185,641.867391688,641.867390599,641.867389505
2026-06-07T02:14:00.000000Z,641.867392475,641.86739283,641.86739229,641.86739268,Z-CRY/IDX,641.867392814,641.867392953,641.867392993,641.867392913,641.867392657,641.867392213,641.867391727,641.867390641,641.867389537
2026-06-07T02:15:00.000000Z,641.867392635,641.867392635,641.867391675,641.867391865,Z-CRY/IDX,641.867392340,641.867392590,641.867392767,641.867392763,641.867392585,641.867392193,641.867391733,641.867390665,641.867389560
2026-06-07T02:16:00.000000Z,641.867391845,641.867392435,641.867391635,641.867392115,Z-CRY/IDX,641.867392227,641.867392432,641.867392637,641.867392670,641.867392542,641.867392189,641.867391748,641.867390694,641.867389585
2026-06-07T02:17:00.000000Z,641.867392125,641.8673923,641.867391705,641.86739207,Z-CRY/IDX,641.867392149,641.867392311,641.867392524,641.867392585,641.867392499,641.867392182,641.867391760,641.867390721,641.867389610
2026-06-07T02:18:00.000000Z,641.86739208,641.867393235,641.867391975,641.867393125,Z-CRY/IDX,641.867392637,641.867392583,641.867392644,641.867392662,641.867392556,641.867392236,641.867391814,641.867390768,641.867389645
2026-06-07T02:19:00.000000Z,641.86739316,641.86739316,641.867392195,641.86739228,Z-CRY/IDX,641.867392458,641.867392482,641.867392571,641.867392607,641.867392531,641.867392238,641.867391832,641.867390798,641.867389671
2026-06-07T02:20:00.000000Z,641.867392255,641.86739253,641.867392035,641.86739211,Z-CRY/IDX,641.867392284,641.867392358,641.867392479,641.867392536,641.867392493,641.867392231,641.867391843,641.867390824,641.867389695
2026-06-07T02:21:00.000000Z,641.867392035,641.86739301,641.867392035,641.86739301,Z-CRY/IDX,641.867392647,641.867392575,641.867392585,641.867392604,641.867392540,641.867392276,641.867391889,641.867390868,641.867389728
2026-06-07T02:22:00.000000Z,641.867393025,641.86739335,641.867392825,641.86739293,Z-CRY/IDX,641.867392789,641.867392693,641.867392654,641.867392651,641.867392575,641.867392313,641.867391930,641.867390909,641.867389760
2026-06-07T02:23:00.000000Z,641.86739288,641.867393005,641.867392385,641.86739258,Z-CRY/IDX,641.867392684,641.867392656,641.867392639,641.867392640,641.867392576,641.867392328,641.867391955,641.867390942,641.867389788
2026-06-07T02:24:00.000000Z,641.867392575,641.867393095,641.867392485,641.86739308,Z-CRY/IDX,641.867392882,641.867392797,641.867392727,641.867392703,641.867392621,641.867392371,641.867391999,641.867390984,641.867389821
2026-06-07T02:25:00.000000Z,641.867393105,641.86739325,641.86739274,641.867392795,Z-CRY/IDX,641.867392839,641.867392796,641.867392741,641.867392716,641.867392637,641.867392395,641.867392030,641.867391020,641.867389851
2026-06-07T02:26:00.000000Z,641.867392775,641.867392805,641.867392185,641.867392215,Z-CRY/IDX,641.867392527,641.867392603,641.867392636,641.867392645,641.867392599,641.867392385,641.867392038,641.867391043,641.867389874
2026-06-07T02:27:00.000000Z,641.867392195,641.867392495,641.86739165,641.867391815,Z-CRY/IDX,641.867392171,641.867392340,641.867392472,641.867392526,641.867392528,641.867392353,641.867392029,641.867391059,641.867389893
2026-06-07T02:28:00.000000Z,641.86739182,641.86739187,641.867391235,641.86739171,Z-CRY/IDX,641.867391940,641.867392130,641.867392319,641.867392410,641.867392453,641.867392316,641.867392016,641.867391072,641.867389912
2026-06-07T02:29:00.000000Z,641.867391705,641.86739242,641.867391705,641.867392075,Z-CRY/IDX,641.867392008,641.867392112,641.867392270,641.867392362,641.867392419,641.867392302,641.867392019,641.867391092,641.867389933
2026-06-07T02:30:00.000000Z,641.86739212,641.867392335,641.867391965,641.8673923,Z-CRY/IDX,641.867392154,641.867392174,641.867392276,641.867392353,641.867392408,641.867392302,641.867392030,641.867391115,641.867389957
2026-06-07T02:31:00.000000Z,641.86739235,641.86739242,641.86739175,641.867391845,Z-CRY/IDX,641.867391999,641.867392065,641.867392190,641.867392280,641.867392357,641.867392276,641.867392022,641.867391130,641.867389975
2026-06-07T02:32:00.000000Z,641.86739185,641.86739231,641.867391585,641.86739192,Z-CRY/IDX,641.867391960,641.867392016,641.867392136,641.867392229,641.867392317,641.867392255,641.867392018,641.867391146,641.867389995
2026-06-07T02:33:00.000000Z,641.86739196,641.8673922,641.867391785,641.867391995,Z-CRY/IDX,641.867391977,641.867392009,641.867392108,641.867392195,641.867392288,641.867392241,641.867392018,641.867391162,641.867390015
2026-06-07T02:34:00.000000Z,641.867391945,641.8673923,641.86739181,641.86739223,Z-CRY/IDX,641.867392104,641.867392083,641.867392132,641.867392200,641.867392283,641.867392240,641.867392026,641.867391184,641.867390037
2026-06-07T02:35:00.000000Z,641.86739217,641.867392355,641.867391765,641.867392285,Z-CRY/IDX,641.867392194,641.867392150,641.867392163,641.867392213,641.867392283,641.867392243,641.867392036,641.867391205,641.867390059
2026-06-07T02:36:00.000000Z,641.867392325,641.867392435,641.86739203,641.8673921,Z-CRY/IDX,641.867392147,641.867392133,641.867392150,641.867392196,641.867392266,641.867392234,641.867392039,641.867391223,641.867390079
2026-06-07T02:37:00.000000Z,641.867392085,641.867392535,641.867391925,641.867392425,Z-CRY/IDX,641.867392286,641.867392231,641.867392205,641.867392229,641.867392281,641.867392245,641.867392054,641.867391247,641.867390103
2026-06-07T02:38:00.000000Z,641.86739247,641.867393005,641.86739232,641.867392715,Z-CRY/IDX,641.867392501,641.867392392,641.867392307,641.867392299,641.867392320,641.867392272,641.867392080,641.867391276,641.867390129
2026-06-07T02:39:00.000000Z,641.867392705,641.867392845,641.86739231,641.86739275,Z-CRY/IDX,641.867392625,641.867392511,641.867392396,641.867392363,641.867392359,641.867392299,641.867392106,641.867391305,641.867390155
2026-06-07T02:40:00.000000Z,641.867392725,641.867392805,641.86739244,641.867392755,Z-CRY/IDX,641.867392690,641.867392593,641.867392468,641.867392419,641.867392395,641.867392325,641.867392131,641.867391334,641.867390181
2026-06-07T02:41:00.000000Z,641.867392755,641.867393125,641.867392315,641.867392895,Z-CRY/IDX,641.867392793,641.867392693,641.867392553,641.867392487,641.867392441,641.867392358,641.867392161,641.867391365,641.867390208
2026-06-07T02:42:00.000000Z,641.867392905,641.86739296,641.867392495,641.867392705,Z-CRY/IDX,641.867392749,641.867392697,641.867392583,641.867392518,641.867392465,641.867392378,641.867392183,641.867391391,641.867390233
2026-06-07T02:43:00.000000Z,641.867392695,641.867392695,641.86739224,641.867392595,Z-CRY/IDX,641.867392672,641.867392663,641.867392586,641.867392529,641.867392477,641.867392390,641.867392199,641.867391415,641.867390256
2026-06-07T02:44:00.000000Z,641.867392585,641.867393125,641.867392585,641.86739271,Z-CRY/IDX,641.867392691,641.867392679,641.867392611,641.867392555,641.867392498,641.867392409,641.867392219,641.867391441,641.867390280
2026-06-07T02:45:00.000000Z,641.867392725,641.867392745,641.867392065,641.86739256,Z-CRY/IDX,641.867392625,641.867392639,641.867392600,641.867392556,641.867392503,641.867392417,641.867392232,641.867391463,641.867390303
2026-06-07T02:46:00.000000Z,641.867392545,641.86739273,641.867392205,641.867392315,Z-CRY/IDX,641.867392470,641.867392531,641.867392543,641.867392521,641.867392486,641.867392411,641.867392235,641.867391480,641.867390323
2026-06-07T02:47:00.000000Z,641.867392285,641.867392285,641.86739133,641.867391725,Z-CRY/IDX,641.867392098,641.867392262,641.867392380,641.867392408,641.867392417,641.867392372,641.867392215,641.867391485,641.867390337
2026-06-07T02:48:00.000000Z,641.867391685,641.867391825,641.867390865,641.867391035,Z-CRY/IDX,641.867391566,641.867391853,641.867392111,641.867392211,641.867392291,641.867392296,641.867392169,641.867391476,641.867390344
2026-06-07T02:49:00.000000Z,641.867391065,641.867391965,641.86739101,641.867391925,Z-CRY/IDX,641.867391746,641.867391877,641.867392074,641.867392171,641.867392258,641.867392275,641.867392160,641.867391485,641.867390360
2026-06-07T02:50:00.000000Z,641.867391895,641.867392005,641.867391555,641.86739184,Z-CRY/IDX,641.867391793,641.867391865,641.867392027,641.867392123,641.867392220,641.867392250,641.867392147,641.867391492,641.867390374
2026-06-07T02:51:00.000000Z,641.867391835,641.867391935,641.867391535,641.867391745,Z-CRY/IDX,641.867391769,641.867391825,641.867391971,641.867392069,641.867392177,641.867392221,641.867392131,641.867391497,641.867390388
2026-06-07T02:52:00.000000Z,641.867391775,641.867392115,641.86739145,641.86739194,Z-CRY/IDX,641.867391854,641.867391863,641.867391964,641.867392051,641.867392155,641.867392205,641.867392124,641.867391505,641.867390404
2026-06-07T02:53:00.000000Z,641.867391935,641.867392135,641.867391735,641.867391965,Z-CRY/IDX,641.867391910,641.867391897,641.867391965,641.867392039,641.867392138,641.867392191,641.867392118,641.867391515,641.867390419
2026-06-07T02:54:00.000000Z,641.86739199,641.867392295,641.86739184,641.867392245,Z-CRY/IDX,641.867392077,641.867392013,641.867392021,641.867392068,641.867392148,641.867392194,641.867392123,641.867391529,641.867390437
2026-06-07T02:55:00.000000Z,641.867392295,641.867392375,641.867391665,641.867391795,Z-CRY/IDX,641.867391936,641.867391940,641.867391975,641.867392029,641.867392116,641.867392171,641.867392110,641.867391534,641.867390451
2026-06-07T02:56:00.000000Z,641.867391735,641.86739204,641.867391645,641.86739188,Z-CRY/IDX,641.867391908,641.867391920,641.867391956,641.867392008,641.867392094,641.867392155,641.867392101,641.867391541,641.867390465
2026-06-07T02:57:00.000000Z,641.86739182,641.867391875,641.867391345,641.867391535,Z-CRY/IDX,641.867391722,641.867391792,641.867391872,641.867391940,641.867392043,641.867392119,641.867392079,641.867391541,641.867390476
2026-06-07T02:58:00.000000Z,641.8673916,641.867392125,641.86739158,641.86739158,Z-CRY/IDX,641.867391651,641.867391721,641.867391814,641.867391889,641.867392001,641.867392089,641.867392059,641.867391542,641.867390487
2026-06-07T02:59:00.000000Z,641.867391535,641.8673923,641.867391285,641.8673923,Z-CRY/IDX,641.867391975,641.867391914,641.867391911,641.867391948,641.867392028,641.867392101,641.867392068,641.867391557,641.867390505
2026-06-07T03:00:00.000000Z,641.867392275,641.867392745,641.867392225,641.867392685,Z-CRY/IDX,641.867392330,641.867392171,641.867392066,641.867392053,641.867392088,641.867392134,641.867392093,641.867391579,641.867390526
2026-06-07T03:01:00.000000Z,641.86739267,641.867392875,641.86739233,641.86739267,Z-CRY/IDX,641.867392500,641.867392337,641.867392187,641.867392141,641.867392141,641.867392165,641.867392115,641.867391601,641.867390548
2026-06-07T03:02:00.000000Z,641.867392615,641.867393085,641.86739252,641.867393025,Z-CRY/IDX,641.867392763,641.867392567,641.867392354,641.867392267,641.867392221,641.867392214,641.867392151,641.867391629,641.867390572
2026-06-07T03:03:00.000000Z,641.867393085,641.86739357,641.867392955,641.867393155,Z-CRY/IDX,641.867392959,641.867392763,641.867392514,641.867392394,641.867392306,641.867392268,641.867392190,641.867391659,641.867390598
2026-06-07T03:04:00.000000Z,641.867393205,641.867393355,641.867392765,641.86739281,Z-CRY/IDX,641.867392884,641.867392778,641.867392574,641.867392454,641.867392352,641.867392299,641.867392215,641.867391682,641.867390620
2026-06-07T03:05:00.000000Z,641.867392765,641.867393155,641.867392675,641.867393145,Z-CRY/IDX,641.867393015,641.867392901,641.867392688,641.867392552,641.867392424,641.867392347,641.867392251,641.867391711,641.867390645
2026-06-07T03:06:00.000000Z,641.86739314,641.86739357,641.867392905,641.867393495,Z-CRY/IDX,641.867393255,641.867393099,641.867392849,641.867392687,641.867392522,641.867392413,641.867392300,641.867391746,641.867390674
2026-06-07T03:07:00.000000Z,641.86739349,641.86739373,641.86739332,641.86739346,Z-CRY/IDX,641.867393357,641.867393219,641.867392971,641.867392797,641.867392607,641.867392472,641.867392345,641.867391780,641.867390701
2026-06-07T03:08:00.000000Z,641.867393515,641.86739354,641.867392885,641.86739336,Z-CRY/IDX,641.867393359,641.867393266,641.867393049,641.867392878,641.867392675,641.867392523,641.867392385,641.867391811,641.867390728
2026-06-07T03:09:00.000000Z,641.867393345,641.867393625,641.867393225,641.867393625,Z-CRY/IDX,641.867393492,641.867393386,641.867393164,641.867392985,641.867392762,641.867392586,641.867392434,641.867391847,641.867390757
2026-06-07T03:10:00.000000Z,641.86739362,641.86739413,641.867393505,641.86739385,Z-CRY/IDX,641.867393671,641.867393540,641.867393301,641.867393108,641.867392861,641.867392658,641.867392489,641.867391887,641.867390787
2026-06-07T03:11:00.000000Z,641.86739381,641.86739419,641.867393765,641.867394155,Z-CRY/IDX,641.867393913,641.867393745,641.867393472,641.867393258,641.867392978,641.867392744,641.867392555,641.867391932,641.867390821
